figure_order,pathway,cell_type,disease,NES,FDR,FDR05
27,Aerobic respiration and respiratory electron transport,OPC,PD,-1.4490497047982258,0.3101228465500941,False
27,Aerobic respiration and respiratory electron transport,Oligo,AD,-1.0487654369371264,1.0,False
27,Aerobic respiration and respiratory electron transport,Oligo,PD,-2.069080331556442,0.0061835695701276,True
28,Mitochondrial protein degradation,Astro,AD,-1.1517508686461275,0.6693287381876966,False
28,Mitochondrial protein degradation,Astro,PD,-2.38916040366366,0.0,True
28,Mitochondrial protein degradation,Micro,AD,-0.8818022995446771,1.0,False
28,Mitochondrial protein degradation,Micro,PD,-1.4415711376368423,0.1368849849299266,False
28,Mitochondrial protein degradation,OPC,AD,-1.3616787974819655,0.34376256521091,False
28,Mitochondrial protein degradation,OPC,PD,-1.3359076734537871,0.3998928597459424,False
28,Mitochondrial protein degradation,Oligo,AD,-1.0726995565403812,1.0,False
28,Mitochondrial protein degradation,Oligo,PD,-1.5125768173533805,0.1608986539024522,False
29,Complex IV assembly,Astro,AD,-1.686410378161992,0.1139502312177803,False
29,Complex IV assembly,Astro,PD,-1.9596066213753192,0.0026927418073231,True
29,Complex IV assembly,Micro,AD,-0.6910400453457873,1.0,False
29,Complex IV assembly,Micro,PD,-1.2674452623418884,0.2644905796467892,False
29,Complex IV assembly,OPC,AD,-1.5037518394655631,0.2376346880135917,False
29,Complex IV assembly,OPC,PD,-0.9600951588843308,0.8009987786656245,False
29,Complex IV assembly,Oligo,AD,-1.263721842813692,0.8065262478001431,False
29,Complex IV assembly,Oligo,PD,-1.8585263639545768,0.0368711781282612,True
30,Signaling by PDGF,Astro,AD,1.7603554627094518,0.0736430097766553,False
30,Signaling by PDGF,Astro,PD,1.3512289221756395,0.5462785833949785,False
30,Signaling by PDGF,Micro,AD,1.08149985804862,0.853895404886172,False
30,Signaling by PDGF,Micro,PD,1.3292049704139122,0.313776161708049,False
30,Signaling by PDGF,OPC,AD,1.022120627285122,0.888584562446856,False
30,Signaling by PDGF,OPC,PD,1.090992422215514,0.6826047208673249,False
30,Signaling by PDGF,Oligo,AD,1.1403539123965778,0.7588619851216994,False
30,Signaling by PDGF,Oligo,PD,1.332375045981398,0.2989019995355606,False
